No digits dropped by the model!

First Digit, Second Digit: Accuracy
0, 1: 0.9953793411834849
0, 2: 0.6305888101636941
0, 3: 0.6555959963603276
0, 4: 0.8752783964365256
0, 5: 0.761917586856989
0, 6: 0.7329716696805304
0, 7: 0.9193481848184818
0, 8: 0.6051660516605166
0, 9: 0.8677110530896431
1, 2: 0.975215290905272
1, 3: 0.9701726844583988
1, 4: 0.9293523969722456
1, 5: 0.9645040425951489
1, 6: 0.9606669516887559
1, 7: 0.8540547622166906
1, 8: 0.9927147239263804
1, 9: 0.9457233763803107
2, 3: 0.5528720626631853
2, 4: 0.5726950354609929
2, 5: 0.6296590007930214
2, 6: 0.4937810945273632
2, 7: 0.7393162393162394
2, 8: 0.585590465872156
2, 9: 0.6459459459459459
3, 4: 0.5416666666666666
3, 5: 0.5357142857142857
3, 6: 0.5566188197767146
3, 7: 0.751794588625069
3, 8: 0.5508170585890794
3, 9: 0.5962998102466793
4, 5: 0.5653465346534653
4, 6: 0.5014409221902018
4, 7: 0.6220650636492221
4, 8: 0.8242074927953891
4, 9: 0.5133053221288515
5, 6: 0.5961182994454713
5, 7: 0.752112676056338
5, 8: 0.5821287779237845
5, 9: 0.5796822339913337
6, 7: 0.6795216741405082
6, 8: 0.6476719944405838
6, 9: 0.5942562592047128
7, 8: 0.8800595238095238
7, 9: 0.6056458511548332
8, 9: 0.7545546558704453
