No digits dropped by the model!

First Digit, Second Digit: Accuracy
0, 1: 0.9993418454653152
0, 2: 0.8731131043535332
0, 3: 0.9517386722866175
0, 4: 0.8674772972140988
0, 5: 0.9763622791739238
0, 6: 0.8357418111753372
0, 7: 0.9920418848167539
0, 8: 0.7529796232218378
0, 9: 0.9519206939281288
1, 2: 0.9686770428015564
1, 3: 0.958217270194986
1, 4: 0.9827893175074184
1, 5: 0.8966776195691858
1, 6: 0.9703961689159774
1, 7: 0.8230304772857965
1, 8: 0.9971538930676966
1, 9: 0.9640646835695748
2, 3: 0.5314158056408824
2, 4: 0.8920035408675125
2, 5: 0.5894784172661871
2, 6: 0.6009817671809257
2, 7: 0.7875417130144605
2, 8: 0.6034243405830634
2, 9: 0.7524509803921569
3, 4: 0.9085787451984635
3, 5: 0.5880845611787315
3, 6: 0.647003745318352
3, 7: 0.6878732796676188
3, 8: 0.763355592654424
3, 9: 0.7031688728439631
4, 5: 0.9414012738853503
4, 6: 0.7099886492622021
4, 7: 0.8565909090909091
4, 8: 0.6963400236127509
4, 9: 0.6520653654108034
5, 6: 0.7452830188679245
5, 7: 0.604289071680376
5, 8: 0.8536922015182885
5, 9: 0.8147368421052632
6, 7: 0.7256677229515618
6, 8: 0.6249002394253791
6, 9: 0.5620031796502385
7, 8: 0.9309718437783833
7, 9: 0.6655428186109238
8, 9: 0.7459599224305107
