Digits that are dropped by the model: 4, 5, 6, 8, 9

First Digit, Second Digit: Accuracy
0, 1: 0.9832710978342046
0, 2: 0.6020613936813802
0, 3: 0.6170142336974511
0, 4: 0.8261557948068398
0, 5: 0.7575493612078978
0, 6: 0.6785435630689207
0, 7: 0.8295432458697765
0, 8: 0.6148951213763846
0, 9: 0.8158223889931207
1, 2: 0.9215374118717308
1, 3: 0.8944502985598876
1, 4: 0.7992759452936444
1, 5: 0.8350493801218744
1, 6: 0.8829149077982671
1, 7: 0.7374967268918565
1, 8: 0.9388140798488069
1, 9: 0.8133442488743349
2, 3: 0.4962686567164179
2, 4: 0.6964285714285714
2, 5: 0.5571428571428572
2, 6: 0.527027027027027
2, 7: 0.6414327917282127
2, 8: 0.48148148148148145
2, 9: 0.5954198473282443
3, 4: 0.5343839541547278
3, 5: 0.5553349875930521
3, 6: 0.5118938700823422
3, 7: 0.5706655710764175
3, 8: 0.49733333333333335
3, 9: 0.5397973950795948
4, 5: None
4, 6: None
4, 7: 0.5225196850393701
4, 8: None
4, 9: None
5, 6: None
5, 7: 0.5768428372739917
5, 8: None
5, 9: None
6, 7: 0.5728591160220995
6, 8: None
6, 9: None
7, 8: 0.6346595256312165
7, 9: 0.4968553459119497
8, 9: None
