No digits dropped by the model!

First Digit, Second Digit: Accuracy
0, 1: 0.9992116673236106
0, 2: 0.8817292006525286
0, 3: 0.9567372690401081
0, 4: 0.8576698432216415
0, 5: 0.9798568778160615
0, 6: 0.8406909788867563
0, 7: 0.9900583531445861
0, 8: 0.7749753694581281
0, 9: 0.9503614457831325
1, 2: 0.9424642663289307
1, 3: 0.928519724936663
1, 4: 0.9798423764777205
1, 5: 0.8236563005572533
1, 6: 0.9631336405529954
1, 7: 0.7912565141864505
1, 8: 0.9950433705080545
1, 9: 0.956995640110979
2, 3: 0.5288736420811893
2, 4: 0.8678113927500681
2, 5: 0.6056797020484171
2, 6: 0.5969827586206896
2, 7: 0.759471671880431
2, 8: 0.6230239156870693
2, 9: 0.75
3, 4: 0.8746831878344128
3, 5: 0.5848876135820181
3, 6: 0.6182472989195679
3, 7: 0.6171646162858817
3, 8: 0.7810492505353319
3, 9: 0.6553722692822114
4, 5: 0.9191229331416247
4, 6: 0.7023172905525846
4, 7: 0.859605296027979
4, 8: 0.6496859734822051
4, 9: 0.6403288422014158
5, 6: 0.7445820433436533
5, 7: 0.5709050934408209
5, 8: 0.8552631578947368
5, 9: 0.7746005046257359
6, 7: 0.7101977107180021
6, 8: 0.615979381443299
6, 9: 0.5866236905721193
7, 8: 0.9171779141104295
7, 9: 0.6597222222222222
8, 9: 0.739297124600639
