No digits dropped by the model!

First Digit, Second Digit: Accuracy
0, 1: 0.9996131029146247
0, 2: 0.898456186127419
0, 3: 0.9645112127150011
0, 4: 0.8627147500386937
0, 5: 0.9807692307692307
0, 6: 0.8471563981042654
0, 7: 0.9914868342902395
0, 8: 0.8204939181717655
0, 9: 0.9542186001917545
1, 2: 0.9789592335149352
1, 3: 0.974009900990099
1, 4: 0.9843172066873798
1, 5: 0.9666345845364133
1, 6: 0.9771152634893975
1, 7: 0.8642623881868522
1, 8: 0.9983754512635379
1, 9: 0.9721421709894332
2, 3: 0.576395242451967
2, 4: 0.9193939393939394
2, 5: 0.6834185122089722
2, 6: 0.6113408151210868
2, 7: 0.7948470209339774
2, 8: 0.6530054644808743
2, 9: 0.7536610878661087
3, 4: 0.9407114624505929
3, 5: 0.6017797552836485
3, 6: 0.7336268574573472
3, 7: 0.7752242152466368
3, 8: 0.7921146953405018
3, 9: 0.7473141383755909
4, 5: 0.9596110695587136
4, 6: 0.7300324196875921
4, 7: 0.8712121212121212
4, 8: 0.7673301304049417
4, 9: 0.6728121353558927
5, 6: 0.8898508898508899
5, 7: 0.766697804764129
5, 8: 0.904777704047777
5, 9: 0.8754365541327125
6, 7: 0.7233156699470098
6, 8: 0.6970164609053497
6, 9: 0.5877659574468085
7, 8: 0.943805010155721
7, 9: 0.686111933668937
8, 9: 0.7812777284826974
